learner_id,region,course_id,last_login_days,assignment_completion_rate,quiz_score_trend,attendance_rate
L11257,Egypt,CRS-012,4.8,0.955,-12.4,0.277
L14926,South Africa,CRS-006,20.5,0.939,-2.1,0.730
L13485,South Africa,CRS-007,0.5,0.572,10.7,0.618
L10776,Egypt,CRS-003,13.0,0.350,16.0,0.281
L13274,Egypt,CRS-014,1.9,0.750,21.3,0.841
L11451,South Africa,CRS-015,4.9,0.781,-11.2,0.249
L11208,South Africa,CRS-013,5.6,0.750,8.5,0.731
L14756,Egypt,CRS-003,2.0,0.679,-9.2,0.694
L12913,South Africa,CRS-009,1.5,0.615,-1.0,0.634
L12168,South Africa,CRS-003,11.8,0.674,34.6,0.529
L13172,Egypt,CRS-007,3.5,0.735,14.6,0.959
L10563,South Africa,CRS-010,10.4,0.779,-7.6,0.832
L13549,Egypt,CRS-001,13.3,0.759,2.0,0.531
L14473,South Africa,CRS-015,7.2,0.829,-15.4,0.772
L13004,Egypt,CRS-015,12.1,0.930,6.2,0.834
L10188,South Africa,CRS-015,4.4,0.701,-3.3,0.541
L10164,South Africa,CRS-006,5.3,0.802,-15.9,0.572
L12651,Egypt,CRS-002,13.0,0.801,7.4,0.557
L11221,Egypt,CRS-013,11.4,0.103,-1.9,0.556
L12536,Egypt,CRS-013,2.2,0.920,3.4,0.516
L14835,Egypt,CRS-005,10.7,0.910,28.9,0.780
L10158,South Africa,CRS-011,2.8,0.980,-20.3,0.620
L13954,South Africa,CRS-007,1.9,0.719,10.8,0.720
L11172,Egypt,CRS-011,7.3,0.522,6.8,0.631
L13267,Egypt,CRS-015,0.0,0.789,-10.7,0.276
L15238,Egypt,CRS-010,7.0,0.794,-6.2,0.513
L10516,Egypt,CRS-014,16.4,0.881,-6.7,0.638
L10863,South Africa,CRS-006,1.0,0.983,-10.8,0.584
L12097,South Africa,CRS-007,0.1,0.508,3.4,0.649
L13870,Egypt,CRS-006,1.1,0.856,11.5,0.647
L10891,Egypt,CRS-003,3.5,0.908,-12.4,0.678
L12268,Egypt,CRS-006,0.2,0.719,30.1,0.801
L10968,South Africa,CRS-015,10.0,0.760,26.2,0.902
L11720,South Africa,CRS-013,2.8,0.355,14.0,0.897
L13102,Egypt,CRS-013,0.6,0.584,-12.3,0.508
L10192,Egypt,CRS-012,13.1,0.924,-7.0,0.633
L11009,Egypt,CRS-008,14.9,0.683,-1.2,0.610
L11074,South Africa,CRS-008,11.0,0.667,-0.3,0.562
L11766,Egypt,CRS-006,3.3,0.734,-4.3,0.714
L11416,Egypt,CRS-001,17.1,0.696,10.8,0.772
L14593,South Africa,CRS-014,6.2,0.810,7.1,0.906
L12053,South Africa,CRS-011,2.1,0.953,24.1,0.435
L11649,Egypt,CRS-008,0.7,0.250,-6.7,0.545
L10475,South Africa,CRS-011,51.5,0.847,3.3,0.529
L11323,South Africa,CRS-009,12.4,0.789,-23.9,0.762
L14082,Egypt,CRS-005,6.8,0.878,25.6,0.832
L11273,South Africa,CRS-009,6.7,0.864,-18.8,0.753
L12854,Egypt,CRS-006,12.9,0.879,2.1,0.662
L14890,South Africa,CRS-010,12.6,0.723,9.8,0.799
L10138,Egypt,CRS-008,6.7,0.703,-5.0,0.794
L13514,Egypt,CRS-010,12.9,0.700,3.9,0.656
L14810,South Africa,CRS-013,11.8,0.745,-3.1,0.794
L11471,South Africa,CRS-011,3.1,0.847,-12.7,0.573
L13265,South Africa,CRS-006,2.8,0.646,2.1,0.565
L11695,South Africa,CRS-014,8.3,0.845,-1.6,0.432
L15086,Egypt,CRS-007,19.7,0.901,7.9,0.466
L14775,Egypt,CRS-012,26.9,0.286,-23.8,0.812
L11792,Egypt,CRS-007,2.4,0.919,7.2,0.765
L10730,Egypt,CRS-004,1.0,0.797,-12.0,0.778
L13851,Egypt,CRS-011,24.6,0.848,-10.7,0.559
L10052,Egypt,CRS-011,27.5,0.717,-5.3,0.953
L12884,South Africa,CRS-003,1.4,0.921,5.2,0.223
L14075,South Africa,CRS-004,10.6,0.874,11.1,0.805
L11845,South Africa,CRS-004,0.8,0.746,3.1,0.814
L14017,South Africa,CRS-007,2.6,0.481,-15.8,0.711
L11678,Egypt,CRS-001,1.7,0.838,22.9,0.824
L13481,South Africa,CRS-011,8.1,0.798,-1.7,0.531
L13214,Egypt,CRS-013,2.2,0.791,-0.3,0.646
L13438,Egypt,CRS-003,4.2,0.575,-1.1,0.190
L11828,South Africa,CRS-003,13.6,0.749,15.7,0.743
L12868,South Africa,CRS-009,3.3,0.158,14.6,0.814
L10354,Egypt,CRS-015,7.5,0.783,-11.4,0.658
L10596,Egypt,CRS-008,19.2,0.816,24.5,0.961
L10761,South Africa,CRS-008,2.3,0.711,-9.8,0.876
L13650,Egypt,CRS-010,2.5,0.634,-3.7,0.645
L15283,South Africa,CRS-010,7.6,0.620,21.7,0.185
L13919,Egypt,CRS-011,8.6,0.821,19.0,0.323
L11064,South Africa,CRS-005,5.5,0.719,-0.3,0.745
L11999,Egypt,CRS-014,23.4,0.620,11.7,0.393
L13107,Egypt,CRS-007,17.0,0.619,-43.9,0.764
L14679,Egypt,CRS-015,5.1,0.870,-0.7,0.718
L12657,South Africa,CRS-008,0.4,0.547,-3.4,0.781
L12042,South Africa,CRS-010,0.1,0.858,7.2,0.775
L10551,Egypt,CRS-001,10.6,0.854,-1.1,0.464
L11263,South Africa,CRS-008,57.3,0.771,-20.3,0.582
L15321,South Africa,CRS-009,0.9,0.813,-0.5,0.812
L14336,South Africa,CRS-006,45.5,0.783,1.4,0.607
L11753,South Africa,CRS-003,2.5,0.914,10.2,0.859
L11021,Egypt,CRS-002,8.1,0.734,-20.5,0.875
L14876,Egypt,CRS-001,3.4,0.886,-0.0,0.801
L15208,Egypt,CRS-013,6.7,0.577,-1.1,0.806
L12005,South Africa,CRS-009,0.9,0.643,6.5,0.772
L11885,South Africa,CRS-009,7.6,0.727,10.3,0.748
L13598,Egypt,CRS-011,11.4,0.892,2.2,0.891
L12432,Egypt,CRS-011,8.1,0.572,3.8,0.883
L11558,South Africa,CRS-003,11.6,0.821,-21.3,0.776
L12866,Egypt,CRS-002,0.8,0.597,19.7,0.673
L10902,Egypt,CRS-014,2.1,0.907,11.6,0.709
L13290,South Africa,CRS-006,0.2,0.382,-4.2,0.567
L14628,South Africa,CRS-008,4.1,0.471,-11.4,0.915
L11901,Egypt,CRS-015,5.8,0.644,-8.6,0.663
L12452,South Africa,CRS-004,1.0,0.708,10.1,0.810
L10030,South Africa,CRS-013,2.0,0.717,-7.5,0.648
L11008,South Africa,CRS-009,15.5,0.695,-11.2,0.695
L12356,South Africa,CRS-013,1.3,0.682,-12.4,0.801
L11569,Egypt,CRS-005,56.2,0.643,-23.2,0.811
L14044,South Africa,CRS-015,7.6,0.404,-5.8,0.715
L12456,South Africa,CRS-007,0.1,0.680,-0.8,0.541
L14834,Egypt,CRS-009,9.1,0.764,-1.3,0.602
L11839,Egypt,CRS-008,7.6,0.762,-9.9,0.659
L10105,Egypt,CRS-014,6.1,0.565,-2.9,0.591
L15307,South Africa,CRS-014,4.2,0.691,-4.3,0.958
L14619,Egypt,CRS-009,2.8,0.598,2.7,0.739
L11300,South Africa,CRS-006,1.7,0.541,-11.8,0.913
L11648,Egypt,CRS-008,12.2,0.536,7.1,0.728
L13488,Egypt,CRS-002,0.5,0.643,1.7,0.678
L15246,South Africa,CRS-002,9.2,0.823,-7.3,0.441
L10568,Egypt,CRS-007,2.1,0.948,-20.9,0.860
L12282,South Africa,CRS-003,0.3,0.361,-14.8,0.788
L13354,Egypt,CRS-001,13.0,0.646,-44.5,0.820
L13694,South Africa,CRS-009,0.4,0.154,-48.2,0.747
L14428,South Africa,CRS-002,10.1,0.485,5.5,0.645
L12767,South Africa,CRS-013,12.3,0.409,-2.5,0.594
L14372,South Africa,CRS-010,11.7,0.828,7.9,0.658
L14594,Egypt,CRS-003,1.4,0.875,-0.7,0.626
L10293,Egypt,CRS-007,1.2,0.742,-16.0,0.709
L12426,South Africa,CRS-002,3.3,0.475,14.7,0.672
L12604,Egypt,CRS-008,1.1,0.570,6.2,0.479
L13161,Egypt,CRS-009,3.3,0.620,-0.7,0.692
L15216,Egypt,CRS-005,18.1,0.530,-9.8,0.265
L13832,Egypt,CRS-009,18.2,0.269,-1.4,0.805
L14786,South Africa,CRS-014,9.0,0.459,3.4,0.788
L13990,Egypt,CRS-002,9.7,0.648,-5.9,0.594
L10307,South Africa,CRS-009,5.6,0.693,-4.2,0.619
L10908,South Africa,CRS-011,2.3,0.740,-43.8,0.658
L14285,South Africa,CRS-004,6.8,0.793,-28.8,0.726
L14672,South Africa,CRS-004,0.5,0.876,5.0,0.611
L14359,South Africa,CRS-015,6.9,0.580,21.4,0.942
L11036,Egypt,CRS-010,6.1,0.768,7.9,0.950
L14623,South Africa,CRS-005,4.6,0.786,-5.1,0.829
L11944,South Africa,CRS-011,0.1,0.945,-30.7,0.897
L10717,Egypt,CRS-004,6.9,0.526,-15.8,0.872
L13338,Egypt,CRS-010,1.1,0.897,20.3,0.882
L12796,Egypt,CRS-001,2.9,0.588,-8.5,0.469
L13127,South Africa,CRS-012,5.8,0.770,8.8,0.801
L10219,Egypt,CRS-009,1.4,0.766,10.5,0.654
L13154,South Africa,CRS-007,1.1,0.670,-11.0,0.747
L12827,South Africa,CRS-009,2.5,0.868,-1.8,0.672
L14929,Egypt,CRS-013,5.7,0.946,14.5,0.765
L12688,Egypt,CRS-011,1.4,0.805,4.7,0.556
L14043,South Africa,CRS-012,5.5,0.640,-2.5,0.888
L12882,Egypt,CRS-010,6.3,0.425,6.6,0.239
L10548,Egypt,CRS-002,1.7,0.899,-6.0,0.468
L10755,Egypt,CRS-010,3.0,0.902,1.9,0.789
L12625,South Africa,CRS-003,1.2,0.158,-1.0,0.895
L13078,South Africa,CRS-002,1.6,0.971,16.1,0.727
L11065,South Africa,CRS-015,1.3,0.782,14.3,0.899
L12790,Egypt,CRS-001,5.1,0.861,-13.5,0.717
L14673,South Africa,CRS-011,15.4,0.725,4.4,0.814
L14569,Egypt,CRS-004,43.6,0.449,-6.4,0.815
L10305,Egypt,CRS-006,16.3,0.545,9.5,0.693
L12075,Egypt,CRS-006,2.6,0.938,-9.0,0.925
L10492,Egypt,CRS-004,15.2,0.480,-16.6,0.915
L12119,South Africa,CRS-010,4.4,0.906,-9.7,0.825
L14519,Egypt,CRS-010,3.7,0.646,2.5,0.723
L10257,South Africa,CRS-007,36.0,0.918,-0.0,0.775
L10094,South Africa,CRS-008,3.9,0.681,20.7,0.819
L14455,South Africa,CRS-011,8.9,0.827,12.6,0.250
L14383,Egypt,CRS-002,9.4,0.216,2.2,0.943
L12387,Egypt,CRS-003,1.2,0.717,-9.2,0.735
L14782,South Africa,CRS-001,0.2,0.912,6.1,0.816
L11653,Egypt,CRS-014,12.7,0.347,6.4,0.674
L10848,Egypt,CRS-003,1.8,0.665,-8.6,0.631
L10481,South Africa,CRS-004,20.2,0.507,-2.5,0.950
L11170,South Africa,CRS-015,0.8,0.908,-1.5,0.623
L11138,South Africa,CRS-011,6.9,0.269,1.7,0.826
L14219,South Africa,CRS-001,38.1,0.766,-10.9,0.668
L12971,Egypt,CRS-008,4.7,0.787,-43.3,0.681
L10810,Egypt,CRS-012,7.2,0.405,-14.3,0.792
L13381,Egypt,CRS-013,2.2,0.691,6.7,0.625
L10128,Egypt,CRS-011,11.8,0.499,13.1,0.580
L11316,Egypt,CRS-004,15.2,0.584,-19.0,0.818
L12263,Egypt,CRS-013,1.7,0.959,-10.5,0.557
L11930,Egypt,CRS-015,8.6,0.738,-7.5,0.696
L13053,Egypt,CRS-015,3.9,0.840,-33.8,0.452
L11654,Egypt,CRS-004,2.7,0.266,-7.3,0.703
L15085,South Africa,CRS-003,2.6,0.597,9.3,0.726
L15083,South Africa,CRS-006,15.2,0.302,22.5,0.674
L15381,South Africa,CRS-013,4.0,0.457,23.6,0.708
L14061,South Africa,CRS-006,13.8,0.454,-18.1,0.879
L12326,South Africa,CRS-001,3.4,0.221,35.6,0.764
L13216,South Africa,CRS-001,8.7,0.966,-1.8,0.879
L15091,South Africa,CRS-007,9.2,0.526,10.2,0.588
L13727,South Africa,CRS-007,6.8,0.727,13.6,0.746
L11689,Egypt,CRS-002,8.8,0.670,-5.8,0.469
L11521,South Africa,CRS-014,0.3,0.609,8.9,0.733
L14303,South Africa,CRS-008,6.8,0.722,0.0,0.639
L14016,Egypt,CRS-006,10.2,0.840,10.6,0.569
L10177,South Africa,CRS-012,16.5,0.662,26.5,0.577
L13439,South Africa,CRS-005,4.3,0.441,20.5,0.743
L12489,Egypt,CRS-002,4.4,0.677,2.7,0.787
L12137,South Africa,CRS-008,8.9,0.805,-4.5,0.531
L10042,Egypt,CRS-013,15.1,0.614,-7.7,0.885
L15248,South Africa,CRS-009,10.1,0.634,-14.3,0.830
L11784,South Africa,CRS-011,2.2,0.523,-13.4,0.528
L14680,South Africa,CRS-002,7.1,0.728,9.5,0.760
L11350,Egypt,CRS-011,8.5,0.777,-0.5,0.839
L13932,South Africa,CRS-010,0.4,0.902,-5.8,0.648
L12798,South Africa,CRS-002,3.6,0.879,-10.7,0.729
L10630,Egypt,CRS-008,8.4,0.709,16.2,0.758
L12415,Egypt,CRS-002,4.7,0.802,-47.4,0.725
L11869,Egypt,CRS-005,2.1,0.813,9.6,0.833
L10044,South Africa,CRS-007,11.1,0.936,6.2,0.587
L11111,Egypt,CRS-008,5.4,0.594,5.9,0.533
L11775,South Africa,CRS-008,0.3,0.733,10.1,0.885
L14734,Egypt,CRS-011,10.3,0.670,16.0,0.852
L11472,South Africa,CRS-002,14.6,0.940,-3.0,0.622
L12839,Egypt,CRS-006,6.0,0.764,6.2,0.471
L11380,Egypt,CRS-005,2.1,0.844,-0.7,0.606
L11294,South Africa,CRS-011,5.3,0.795,4.7,0.935
L13492,Egypt,CRS-012,3.3,0.725,9.2,0.636
L11837,South Africa,CRS-012,1.5,0.677,-4.1,0.731
L12355,Egypt,CRS-010,1.7,0.842,-6.7,0.698
L12476,Egypt,CRS-008,3.4,0.721,-30.0,0.539
L11744,South Africa,CRS-015,0.6,0.730,-9.7,0.236
L13424,Egypt,CRS-007,14.8,0.860,-10.8,0.940
L12409,Egypt,CRS-015,2.2,0.729,-41.6,0.807
L12739,South Africa,CRS-001,1.1,0.691,-22.6,0.671
L13112,Egypt,CRS-008,0.2,0.394,1.6,0.226
L11517,South Africa,CRS-013,3.8,0.906,-32.4,0.586
L14309,South Africa,CRS-011,11.7,0.609,-4.3,0.915
L15193,Egypt,CRS-013,2.4,0.640,-20.5,0.821
L13426,South Africa,CRS-015,0.5,0.770,22.3,0.680
L13209,Egypt,CRS-008,1.9,0.157,3.8,0.734
L15360,Egypt,CRS-012,1.2,0.732,4.4,0.766
L10864,Egypt,CRS-009,7.8,0.679,-4.1,0.663
L14822,Egypt,CRS-008,4.9,0.666,-19.5,0.565
L14736,South Africa,CRS-007,17.9,0.946,3.1,0.858
L11968,South Africa,CRS-002,11.9,0.494,-8.0,0.492
L10272,South Africa,CRS-014,1.2,0.797,13.9,0.382
L10244,Egypt,CRS-014,4.4,0.704,20.5,0.904
L10543,South Africa,CRS-001,2.1,0.847,6.3,0.899
L14453,South Africa,CRS-009,10.6,0.483,6.8,0.675
L11685,Egypt,CRS-008,4.8,0.789,-13.4,0.728
L10878,Egypt,CRS-004,0.7,0.756,13.8,0.869
L14687,Egypt,CRS-014,8.0,0.691,-6.3,0.639
L11541,Egypt,CRS-011,2.8,0.812,2.9,0.683
L10608,South Africa,CRS-003,2.8,0.490,1.0,0.656
L12159,Egypt,CRS-006,11.9,0.780,-5.2,0.638
L13333,South Africa,CRS-006,29.7,0.549,-32.1,0.719
L10830,South Africa,CRS-013,1.9,0.671,-6.7,0.904
L11238,Egypt,CRS-004,2.6,0.677,-9.4,0.740
L13633,South Africa,CRS-011,4.4,0.867,0.8,0.603
L11060,Egypt,CRS-010,10.2,0.797,14.2,0.529
L12649,Egypt,CRS-015,3.1,0.943,-16.0,0.862
L10654,South Africa,CRS-006,0.4,0.595,5.2,0.832
L13557,South Africa,CRS-007,1.7,0.890,8.6,0.907
L13807,Egypt,CRS-002,3.1,0.753,-2.5,0.747
L12687,Egypt,CRS-014,7.1,0.778,-26.8,0.736
L12203,Egypt,CRS-003,5.5,0.669,-5.8,0.650
L12030,Egypt,CRS-007,10.5,0.513,-3.4,0.887
L13351,Egypt,CRS-015,7.3,0.914,3.4,0.566
L11244,South Africa,CRS-007,1.1,0.694,1.7,0.902
L13962,South Africa,CRS-006,6.6,0.721,-8.7,0.609
L13291,Egypt,CRS-004,12.2,0.770,13.2,0.652
L12675,South Africa,CRS-008,12.1,0.751,9.4,0.595
L11227,South Africa,CRS-008,2.6,0.739,3.9,0.741
L10582,Egypt,CRS-008,6.1,0.695,1.6,0.846
L13801,Egypt,CRS-004,3.4,0.452,-14.7,0.764
L14257,Egypt,CRS-009,0.9,0.502,12.7,0.859
L12654,South Africa,CRS-013,3.4,0.801,-13.3,0.866
L14335,South Africa,CRS-006,4.7,0.766,-1.7,0.885
L12610,South Africa,CRS-010,28.3,0.845,2.7,0.549
L14997,Egypt,CRS-006,4.0,0.138,-8.3,0.853
L11853,Egypt,CRS-004,6.0,0.775,8.1,0.624
L14031,Egypt,CRS-009,16.9,0.895,11.7,0.687
L13244,South Africa,CRS-005,2.8,0.902,-14.5,0.754
L10466,South Africa,CRS-015,17.4,0.575,-5.6,0.708
L12680,Egypt,CRS-002,4.9,0.164,-2.2,0.787
L13218,South Africa,CRS-001,21.1,0.350,-6.5,0.447
L15269,South Africa,CRS-009,4.2,0.821,-2.8,0.549
L13564,South Africa,CRS-006,15.3,0.584,1.1,0.571
L14686,Egypt,CRS-004,13.7,0.723,1.4,0.721
L12302,South Africa,CRS-002,12.9,0.860,0.2,0.821
L12149,South Africa,CRS-008,1.2,0.454,-16.2,0.694
L14232,Egypt,CRS-015,2.1,0.267,0.8,0.697
L12378,Egypt,CRS-011,1.5,0.743,7.8,0.545
L13454,South Africa,CRS-010,22.3,0.620,-11.7,0.451
L10032,Egypt,CRS-004,1.8,0.804,-28.5,0.738
L13395,South Africa,CRS-013,3.4,0.937,-2.7,0.873
L12606,South Africa,CRS-008,7.9,0.436,-16.2,0.423
L11407,Egypt,CRS-002,5.1,0.972,-11.9,0.906
L11193,South Africa,CRS-013,14.4,0.657,-6.7,0.793
L14842,Egypt,CRS-009,10.5,0.712,-16.1,0.448
L11836,South Africa,CRS-010,0.7,0.864,-5.0,0.892
L10735,South Africa,CRS-006,0.4,0.530,-8.2,0.915
L15376,South Africa,CRS-010,12.9,0.244,-19.7,0.681
L10282,South Africa,CRS-004,16.7,0.861,3.0,0.703
L13115,South Africa,CRS-014,9.1,0.329,1.2,0.861
L12237,Egypt,CRS-003,1.1,0.880,12.1,0.724
L13372,Egypt,CRS-008,0.2,0.484,12.5,0.838
L10473,South Africa,CRS-006,14.7,0.464,24.2,0.574
L10434,South Africa,CRS-015,36.5,0.621,-11.7,0.848
L10974,South Africa,CRS-010,7.5,0.699,-4.1,0.591
L10309,South Africa,CRS-001,2.9,0.834,9.1,0.629
L10111,Egypt,CRS-004,1.7,0.919,-1.6,0.570
L10062,South Africa,CRS-001,0.5,0.614,15.3,0.847
L14990,Egypt,CRS-012,46.9,0.803,0.1,0.346
L13898,Egypt,CRS-004,20.0,0.785,11.0,0.418
L10332,South Africa,CRS-012,53.8,0.233,3.8,0.696
L13123,South Africa,CRS-013,9.9,0.866,12.7,0.474
L13435,South Africa,CRS-011,12.0,0.970,-2.0,0.820
L13195,Egypt,CRS-004,29.3,0.861,14.4,0.945
L12863,South Africa,CRS-011,40.9,0.745,11.9,0.760
L13094,South Africa,CRS-013,0.7,0.676,-3.6,0.606
L14797,South Africa,CRS-007,1.6,0.605,-3.4,0.589
L13043,South Africa,CRS-012,0.6,0.394,-14.0,0.760
L13653,Egypt,CRS-011,0.6,0.632,-2.0,0.286
L11675,Egypt,CRS-014,1.1,0.847,5.6,0.728
L13175,Egypt,CRS-014,5.4,0.252,-45.4,0.671
L15301,Egypt,CRS-012,7.8,0.764,-0.5,0.849
L13075,South Africa,CRS-009,5.3,0.781,-2.8,0.630
L14158,Egypt,CRS-006,3.0,0.841,0.0,0.544
L11352,Egypt,CRS-007,0.9,0.914,12.6,0.224
L10426,South Africa,CRS-004,1.5,0.745,-1.8,0.924
L11771,South Africa,CRS-003,4.8,0.770,15.7,0.679
L13077,Egypt,CRS-013,4.0,0.759,-20.7,0.607
L13902,Egypt,CRS-001,4.1,0.789,-9.1,0.364
L11356,Egypt,CRS-008,6.4,0.501,9.4,0.635
L14430,Egypt,CRS-003,8.5,0.386,13.8,0.799
L15099,South Africa,CRS-010,2.2,0.903,-5.9,0.476
L13369,South Africa,CRS-006,9.4,0.806,-39.6,0.757
L13967,South Africa,CRS-012,3.9,0.907,5.4,0.507
L11880,South Africa,CRS-004,1.0,0.626,-2.7,0.734
L15108,South Africa,CRS-008,7.3,0.863,11.3,0.484
L13771,Egypt,CRS-010,24.5,0.677,12.3,0.765
L13371,South Africa,CRS-002,8.8,0.963,12.4,0.885
L14294,Egypt,CRS-004,0.3,0.903,17.3,0.818
L10082,Egypt,CRS-002,2.3,0.534,-10.6,0.538
L10123,Egypt,CRS-013,0.6,0.498,-5.9,0.703
L12672,South Africa,CRS-014,0.3,0.389,5.4,0.902
L14552,South Africa,CRS-010,8.7,0.622,0.1,0.680
L11931,South Africa,CRS-008,19.6,0.519,14.6,0.865
L15297,South Africa,CRS-013,20.5,0.798,11.2,0.877
L12903,South Africa,CRS-008,6.1,0.808,-18.2,0.816
L14280,Egypt,CRS-008,5.1,0.778,0.6,0.508
L12956,South Africa,CRS-002,13.0,0.401,9.4,0.673
L14398,South Africa,CRS-005,3.1,0.790,-30.3,0.546
L10547,Egypt,CRS-011,20.6,0.654,-24.6,0.561
L14040,Egypt,CRS-014,8.6,0.558,-1.1,0.149
L15391,South Africa,CRS-009,5.0,0.607,-2.4,0.805
L15113,South Africa,CRS-005,5.3,0.669,6.0,0.869
L14958,Egypt,CRS-003,16.6,0.731,8.7,0.536
L11782,Egypt,CRS-014,7.5,0.533,8.1,0.109
L11757,South Africa,CRS-005,8.9,0.396,8.8,0.640
L11754,South Africa,CRS-001,2.3,0.706,22.2,0.582
L11084,Egypt,CRS-013,16.2,0.249,-15.8,0.664
L15124,South Africa,CRS-015,11.4,0.590,-9.3,0.665
L10960,Egypt,CRS-007,21.8,0.812,5.0,0.652
L14325,South Africa,CRS-010,42.9,0.317,3.0,0.708
L13119,South Africa,CRS-013,2.6,0.730,2.0,0.350
L10763,Egypt,CRS-014,12.9,0.743,-6.8,0.757
L12915,South Africa,CRS-007,1.3,0.829,-13.6,0.819
L12447,South Africa,CRS-005,20.7,0.899,-0.2,0.779
L10925,Egypt,CRS-015,4.0,0.375,-2.3,0.784
L10598,South Africa,CRS-015,18.4,0.904,4.9,0.451
L12408,Egypt,CRS-010,21.3,0.801,11.1,0.744
L14781,Egypt,CRS-013,7.8,0.598,-8.6,0.900
L12737,Egypt,CRS-014,14.7,0.542,4.2,0.851
L11789,South Africa,CRS-001,3.5,0.709,3.1,0.770
L11151,South Africa,CRS-012,7.6,0.393,2.9,0.852
L15361,South Africa,CRS-001,11.7,0.707,-10.2,0.751
L10813,South Africa,CRS-008,13.1,0.867,0.4,0.720
L13177,South Africa,CRS-015,22.4,0.713,16.3,0.709
L10818,South Africa,CRS-003,5.2,0.667,26.2,0.726
L14048,Egypt,CRS-012,9.5,0.678,-1.2,0.701
L12312,Egypt,CRS-011,11.6,0.706,-24.7,0.620
L14204,South Africa,CRS-012,4.8,0.759,9.1,0.868
L14753,Egypt,CRS-002,1.5,0.938,-4.0,0.735
L11406,South Africa,CRS-014,5.4,0.904,21.6,0.667
L14878,Egypt,CRS-006,0.8,0.503,-14.7,0.374
L14634,South Africa,CRS-010,0.6,0.703,-14.3,0.777
L10980,South Africa,CRS-002,22.5,0.353,-18.5,0.696
L14196,South Africa,CRS-015,7.4,0.668,-4.0,0.862
L12519,South Africa,CRS-012,28.4,0.764,12.0,0.765
L14060,Egypt,CRS-001,16.8,0.782,-1.0,0.858
L11461,South Africa,CRS-001,10.9,0.598,19.1,0.688
L14999,South Africa,CRS-007,13.7,0.885,-16.0,0.579
L10099,South Africa,CRS-011,10.7,0.394,15.5,0.640
L12776,Egypt,CRS-012,11.8,0.943,-3.5,0.890
L10764,Egypt,CRS-014,6.5,0.420,20.8,0.555
L10860,South Africa,CRS-009,0.1,0.680,11.8,0.779
L12465,Egypt,CRS-001,7.5,0.702,18.5,0.728
L12859,Egypt,CRS-003,0.2,0.890,4.3,0.449
